DateUTC,Precipitation [In],Temperature [F]
2013-01-01 00:51:00-06:00,0.0,21.0
2013-01-01 01:51:00-06:00,0.0,21.0
2013-01-01 02:51:00-06:00,0.0,19.9
2013-01-01 03:51:00-06:00,0.0,19.0
2013-01-01 04:51:00-06:00,0.0,18.0
2013-01-01 05:51:00-06:00,0.0,17.1
2013-01-01 06:51:00-06:00,0.0,16.0
2013-01-01 07:51:00-06:00,0.0,15.1
2013-01-01 08:51:00-06:00,0.0,17.1
2013-01-01 09:51:00-06:00,0.0,19.9
2013-01-01 10:51:00-06:00,0.0,21.0
2013-01-01 11:51:00-06:00,0.0,23.0
2013-01-01 12:51:00-06:00,0.0,25.0
2013-01-01 13:51:00-06:00,0.0,26.1
2013-01-01 14:51:00-06:00,0.0,26.1
2013-01-01 15:51:00-06:00,0.0,25.0
2013-01-01 16:51:00-06:00,0.0,21.9
2013-01-01 17:51:00-06:00,0.0,19.9
2013-01-01 18:51:00-06:00,0.0,18.0
2013-01-01 19:51:00-06:00,0.0,16.0
2013-01-01 20:51:00-06:00,0.0,16.0
2013-01-01 21:51:00-06:00,0.0,15.1
2013-01-01 22:51:00-06:00,0.0,14.0
2013-01-01 23:51:00-06:00,0.0,12.9
2013-01-02 00:51:00-06:00,0.0,12.9
2013-01-02 01:51:00-06:00,0.0,12.2
2013-01-02 02:51:00-06:00,0.0,12.0
2013-01-02 03:51:00-06:00,0.0,12.9
2013-01-02 04:10:00-06:00,0.0,12.2
2013-01-02 04:51:00-06:00,0.0,12.9
2013-01-02 05:51:00-06:00,0.0,12.9
2013-01-02 06:51:00-06:00,0.0,12.0
2013-01-02 07:51:00-06:00,0.0,12.0
2013-01-02 08:51:00-06:00,0.0,15.1
2013-01-02 09:51:00-06:00,0.0,19.9
2013-01-02 10:51:00-06:00,0.0,21.9
2013-01-02 11:51:00-06:00,0.0,25.0
2013-01-02 12:51:00-06:00,0.0,28.0
2013-01-02 13:51:00-06:00,0.0,28.9
2013-01-02 14:51:00-06:00,0.0,28.9
2013-01-02 15:51:00-06:00,0.0,28.0
2013-01-02 16:51:00-06:00,0.0,25.0
2013-01-02 17:51:00-06:00,0.0,23.0
2013-01-02 18:51:00-06:00,0.0,21.9
2013-01-02 19:51:00-06:00,0.0,21.9
2013-01-02 20:51:00-06:00,0.0,21.0
2013-01-02 21:51:00-06:00,0.0,19.9
2013-01-02 22:51:00-06:00,0.0,19.9
2013-01-02 23:51:00-06:00,0.0,21.9
2013-01-03 00:51:00-06:00,0.0,21.9
2013-01-03 01:51:00-06:00,0.0,24.1
2013-01-03 02:15:00-06:00,0.0,24.8
2013-01-03 02:51:00-06:00,0.0,25.0
2013-01-03 03:51:00-06:00,0.0,26.1
2013-01-03 04:51:00-06:00,0.0,26.1
