ISBE_ID,4 Yr Graduation Rate (%),5 Yr Graduation Rate (%),Address,All 4 Subjects College Ready (%),Average Class Size,Avg. Teacher Salary ($),City,College Ready (%),Domain,English College Ready (%),English Learners (%),Grades,Instructional Spending per Student ($),Low Income (%),Mathematics College Ready (%),Mobility (%),Name,Number Districts,Number Schools,Operational Spending per Student ($),PARCC Proficiency (%),Principal Turnover,Reading College Ready (%),Ready for Next,Science College Ready (%),State,Total Enrollment,Total Teacher FTE (N),With Disabilities (%),Zip
150162990250848,92.8,100,3630 S WELLS ST ,3,21.8,68968,CHICAGO,24.8,School,59.4,2.7,9-12,9778,88.1,9.9,5.5,AIR FORCE ACAD HIGH SCHOOL,,,15120,9.4,1,20.8,9.4%,14.9,IL,370,22559,9.7,60609
150162990250849,95.9,98.4,2957 N HOYNE AVE ,6,19.8,68968,CHICAGO,20,School,48,6.1,9-12,9778,81.8,16,6,ALCOTT HUMANITIES HIGH SCHOOL,,,15120,14.3,2,14,14.3%,20,IL,264,22559,22.3,60618
150162990250001,81.1,87.8,5110 N DAMEN AVE ,2.2,25.6,68968,CHICAGO,17.9,School,38,12.9,9-12,9778,92.8,12.9,15.5,AMUNDSEN HIGH SCHOOL,,,15120,14.9,2,11.1,14.9%,9.3,IL,1157,22559,15.2,60625
150162990250839,95.3,95.3,231 N PINE AVE ,0,11.8,68968,CHICAGO,0,School,16,0.7,9-12,9778,98.7,0,24.4,AUSTIN BUS & ENTREPRENEURSHIP HS,,,15120,1.8,5,2,1.8%,0,IL,149,22559,24.2,60644
150162990250840,94.3,78.4,231 N PINE AVE ,0,10.8,68968,CHICAGO,0,School,7.5,0.6,9-12,9778,98.1,2.5,40.3,AUSTIN POLYTECHNICAL ACADEMY HS,,,15120,3.4,4,2.5,3.4%,0,IL,158,22559,24.1,60644
150162990250014,,,2111 W 47Th St ,,20.5,68968,Chicago,,School,,15.3,9-10,9778,98.7,,5.5,BACK OF THE YARDS IB HS,,,15120,35,1,,35%,,IL,549,22559,8.7,60609
150162990250003,80.5,88.1,3939 W 79TH ST ,1.2,23.3,68968,CHICAGO,7.5,School,23.9,9.2,9-12,9778,92.4,3.3,18.8,BOGAN HIGH SCHOOL,,,15120,1.5,2,7.8,1.5%,4.8,IL,1081,22559,22.2,60652
150162990250824,61.1,69.2,2710 E 89TH ST ,0,19.5,68968,CHICAGO,1.9,School,18.4,5.6,9-12,9778,96.3,2.9,52.4,BOWEN HIGH SCHOOL,,,15120,0.8,3,1,0.8%,1.9,IL,534,22559,30.5,60617
150162990250834,97.3,97.5,4934 S Wabash Ave ,0,24.5,68968,Chicago,4.2,School,30.5,0.4,9-12,9778,95.6,4.2,12.8,BRONZEVILLE SCHOLASTIC HS,,,15120,1.2,2,8.5,1.2%,3.4,IL,474,22559,11.4,60615
150162990250788,97.7,96.9,250 E 111TH ST ,31.1,26.7,68968,CHICAGO,80.6,School,95,0,9-12,9778,76.1,50.6,3.6,BROOKS COLLEGE PREP ACADEMY HS,,,15120,53.5,2,65.6,53.5%,52.8,IL,757,22559,1.7,60628
150162990250006,98.1,100,13100 S DOTY AVE ,2.7,25.1,68968,CHICAGO,13.4,School,46.4,2.4,9-12,9778,95.4,10.7,2.8,CARVER MILITARY ACADEMY HS,,,15120,6.9,3,10.7,6.9%,8,IL,502,22559,7.6,60827
150162990250820,87,90.4,3400 N AUSTIN AVE ,4.8,20.4,68968,CHICAGO,23.4,School,49.2,6.6,9-12,9778,85.6,18.5,6.6,CHICAGO ACADEMY HIGH SCHOOL,,,15120,25.3,1,16.1,25.3%,14.5,IL,527,22559,17.8,60634
150162990250862,16.5,49.2,1257 W 111Th St ,0,23.4,68968,Chicago,1.3,School,3.8,0,9-12,9778,94.6,1.3,100.3,CHICAGO EXCEL ACADEMY HS,,,15120,,2,2.6,-,0,IL,370,22559,9.5,60643
150162990250772,91.3,95,3857 W 111TH ST ,13.4,25.2,68968,CHICAGO,45.5,School,72.3,0.2,9-12,9778,51.7,29.5,2.5,CHICAGO HS FOR AGRICULT SCIENCES,,,15120,35.4,1,33.9,35.4%,31.3,IL,617,22559,9.2,60655
150162990250851,89,89.9,2714 W AUGUSTA BLVD ,12.7,21.1,68968,CHICAGO,45.2,School,73,1.9,9-12,9778,56.8,24.6,4.7,CHICAGO HS FOR THE ARTS,,,15120,40.1,5,38.9,40.1%,34.1,IL,576,22559,7.8,60622
150162990250795,100,94,3519 S GILES AVE ,1.7,25.3,68968,CHICAGO,15.3,School,54.2,2.3,9-12,9778,94.9,8.5,11.5,CHICAGO MILITARY ACADEMY HS,,,15120,3.8,2,13.6,3.8%,8.5,IL,395,22559,9.9,60653
150162990250850,84.5,93.1,1301 W 14TH ST ,0,24.6,68968,CHICAGO,16.5,School,22.8,2.7,9-12,9778,93.6,8.9,7.2,CHICAGO TECHNOLOGY ACADEMY HS,,,15120,9.2,4,7.6,9.2%,8.9,IL,376,22559,20.5,60608
150162990250526,72.9,84.9,2100 E 87TH ST ,0.7,20.2,68968,CHICAGO,1.4,School,12.7,1,9-12,9778,96.8,2.1,30.5,CHICAGO VOCATIONAL CAREER ACAD HS,,,15120,1.3,3,1.4,1.3%,1.4,IL,1005,22559,23.5,60617
150162990250827,95.9,91.9,5101 W HARRISON ST ,0.9,23.7,68968,CHICAGO,4.3,School,27.4,0,9-12,9778,98.4,2.6,14.6,CLARK ACAD PREP MAGNET HIGH SCHL,,,15120,3.9,2,10.3,3.9%,8.5,IL,492,22559,10.8,60644
150162990250545,82.5,87.3,1147 N WESTERN AVE ,0,26.2,68968,CHICAGO,3.6,School,17.4,13.5,9-12,9778,96,2.1,19.5,CLEMENTE COMMUNITY ACADEMY HS,,,15120,3,2,4.6,3%,2.6,IL,825,22559,26.3,60622
150162990250841,66.2,87.8,1313 S SACRAMENTO DR ,0,22.4,68968,CHICAGO,0,School,7.2,0.2,9-12,9778,98.5,1.4,17.3,COLLINS ACADEMY HIGH SCHOOL,,,15120,0.9,6,1.4,0.9%,0,IL,409,22559,20,60623
150162990250846,55.9,47.7,1239 S PULASKI RD ,0,26.1,68968,CHICAGO,0,School,3.3,0,11-12,9778,80,0,57.4,COMMUNITY SERVICES WEST HIGH SCH,,,15120,0,1,3.3,,0,IL,125,22559,6.4,60623
