Count,Date
38088,2001/01/01
33778,2001/02/01
40553,2001/03/01
40079,2001/04/01
41819,2001/05/01
41720,2001/06/01
44689,2001/07/01
44030,2001/08/01
41499,2001/09/01
43026,2001/10/01
39596,2001/11/01
36844,2001/12/01
38395,2002/01/01
33908,2002/02/01
38583,2002/03/01
40035,2002/04/01
42910,2002/05/01
42832,2002/06/01
46013,2002/07/01
44210,2002/08/01
42383,2002/09/01
43142,2002/10/01
37151,2002/11/01
37168,2002/12/01
36697,2003/01/01
32503,2003/02/01
38650,2003/03/01
39788,2003/04/01
41188,2003/05/01
40811,2003/06/01
43411,2003/07/01
44263,2003/08/01
41421,2003/09/01
43326,2003/10/01
38054,2003/11/01
35787,2003/12/01
35095,2004/01/01
34067,2004/02/01
39850,2004/03/01
38265,2004/04/01
40778,2004/05/01
41131,2004/06/01
43232,2004/07/01
43044,2004/08/01
41208,2004/09/01
41521,2004/10/01
36835,2004/11/01
34317,2004/12/01
33839,2005/01/01
31984,2005/02/01
36899,2005/03/01
38868,2005/04/01
40464,2005/05/01
40045,2005/06/01
41802,2005/07/01
41540,2005/08/01
39620,2005/09/01
39958,2005/10/01
35974,2005/11/01
32661,2005/12/01
36734,2006/01/01
31295,2006/02/01
36970,2006/03/01
36471,2006/04/01
39610,2006/05/01
38806,2006/06/01
41536,2006/07/01
40490,2006/08/01
37763,2006/09/01
38653,2006/10/01
35564,2006/11/01
34132,2006/12/01
34061,2007/01/01
27134,2007/02/01
36345,2007/03/01
35628,2007/04/01
40084,2007/05/01
38980,2007/06/01
40984,2007/07/01
39840,2007/08/01
38251,2007/09/01
39585,2007/10/01
34417,2007/11/01
31603,2007/12/01
33341,2008/01/01
29037,2008/02/01
33968,2008/03/01
35586,2008/04/01
38056,2008/05/01
37689,2008/06/01
40478,2008/07/01
40531,2008/08/01
37432,2008/09/01
37873,2008/10/01
33551,2008/11/01
29404,2008/12/01
30199,2009/01/01
28216,2009/02/01
33673,2009/03/01
32555,2009/04/01
35229,2009/05/01
34257,2009/06/01
35664,2009/07/01
35810,2009/08/01
33858,2009/09/01
33518,2009/10/01
31379,2009/11/01
28180,2009/12/01
29144,2010/01/01
24931,2010/02/01
32323,2010/03/01
31655,2010/04/01
33388,2010/05/01
32698,2010/06/01
33498,2010/07/01
34133,2010/08/01
31870,2010/09/01
32380,2010/10/01
28873,2010/11/01
25224,2010/12/01
27126,2011/01/01
22215,2011/02/01
28676,2011/03/01
29081,2011/04/01
31565,2011/05/01
32290,2011/06/01
33239,2011/07/01
32568,2011/08/01
29906,2011/09/01
30248,2011/10/01
27612,2011/11/01
27001,2011/12/01
26188,2012/01/01
23845,2012/02/01
28531,2012/03/01
27164,2012/04/01
30063,2012/05/01
31049,2012/06/01
31943,2012/07/01
30003,2012/08/01
27727,2012/09/01
27934,2012/10/01
26005,2012/11/01
25178,2012/12/01
25351,2013/01/01
21372,2013/02/01
24920,2013/03/01
25490,2013/04/01
27954,2013/05/01
27324,2013/06/01
28589,2013/07/01
28617,2013/08/01
26292,2013/09/01
25425,2013/10/01
23509,2013/11/01
21816,2013/12/01
19851,2014/01/01
17971,2014/02/01
22103,2014/03/01
22824,2014/04/01
24799,2014/05/01
25333,2014/06/01
26468,2014/07/01
25794,2014/08/01
23805,2014/09/01
23896,2014/10/01
20665,2014/11/01
20878,2014/12/01
20626,2015/01/01
16280,2015/02/01
21553,2015/03/01
21588,2015/04/01
23558,2015/05/01
23041,2015/06/01
24087,2015/07/01
24673,2015/08/01
22983,2015/09/01
22956,2015/10/01
20459,2015/11/01
20970,2015/12/01
20286,2016/01/01
18540,2016/02/01
21819,2016/03/01
20814,2016/04/01
23090,2016/05/01
23548,2016/06/01
24303,2016/07/01
24283,2016/08/01
22790,2016/09/01
