Date,Case Number
2013-01-01,189
2013-01-02,213
2013-01-03,234
2013-01-04,289
2013-01-05,246
2013-01-06,216
2013-01-07,218
2013-01-08,243
2013-01-09,282
2013-01-10,216
2013-01-11,324
2013-01-12,226
2013-01-13,209
2013-01-14,233
2013-01-15,251
2013-01-16,239
2013-01-17,246
2013-01-18,316
2013-01-19,260
2013-01-20,196
2013-01-21,197
2013-01-22,198
2013-01-23,226
2013-01-24,254
2013-01-25,261
2013-01-26,268
2013-01-27,186
2013-01-28,281
2013-01-29,279
2013-01-30,267
2013-01-31,220
2013-02-01,244
2013-02-02,215
2013-02-03,170
2013-02-04,198
2013-02-05,223
2013-02-06,243
2013-02-07,212
2013-02-08,264
2013-02-09,260
2013-02-10,228
2013-02-11,237
2013-02-12,244
2013-02-13,262
2013-02-14,202
2013-02-15,291
2013-02-16,193
2013-02-17,208
2013-02-18,235
2013-02-19,177
2013-02-20,236
2013-02-21,191
2013-02-22,242
2013-02-23,218
2013-02-24,195
2013-02-25,198
2013-02-26,191
2013-02-27,218
2013-02-28,237
2013-03-01,254
2013-03-02,224
2013-03-03,207
2013-03-04,245
2013-03-05,174
2013-03-06,215
2013-03-07,233
2013-03-08,300
2013-03-09,271
2013-03-10,199
2013-03-11,239
2013-03-12,235
2013-03-13,226
2013-03-14,238
2013-03-15,268
2013-03-16,270
2013-03-17,224
2013-03-18,209
2013-03-19,248
2013-03-20,214
2013-03-21,208
2013-03-22,261
2013-03-23,232
2013-03-24,232
2013-03-25,202
2013-03-26,241
2013-03-27,287
2013-03-28,305
2013-03-29,303
2013-03-30,292
2013-03-31,217
2013-04-01,219
2013-04-02,260
2013-04-03,246
2013-04-04,273
2013-04-05,272
2013-04-06,271
2013-04-07,234
2013-04-08,285
2013-04-09,240
2013-04-10,242
2013-04-11,234
2013-04-12,274
2013-04-13,285
2013-04-14,282
2013-04-15,231
2013-04-16,270
2013-04-17,183
2013-04-18,275
2013-04-19,242
2013-04-20,254
2013-04-21,235
2013-04-22,265
2013-04-23,225
2013-04-24,299
2013-04-25,269
2013-04-26,309
2013-04-27,247
2013-04-28,240
2013-04-29,279
2013-04-30,268
2013-05-01,332
2013-05-02,228
2013-05-03,264
2013-05-04,294
2013-05-05,278
2013-05-06,253
2013-05-07,291
2013-05-08,312
2013-05-09,215
2013-05-10,277
2013-05-11,243
2013-05-12,257
2013-05-13,275
2013-05-14,319
2013-05-15,304
2013-05-16,300
2013-05-17,308
2013-05-18,333
2013-05-19,266
2013-05-20,282
2013-05-21,279
2013-05-22,269
2013-05-23,237
2013-05-24,293
2013-05-25,243
2013-05-26,250
2013-05-27,234
2013-05-28,219
2013-05-29,315
2013-05-30,279
2013-05-31,310
2013-06-01,266
2013-06-02,244
2013-06-03,289
2013-06-04,264
2013-06-05,260
2013-06-06,264
2013-06-07,302
2013-06-08,310
2013-06-09,261
2013-06-10,273
2013-06-11,270
2013-06-12,217
2013-06-13,301
2013-06-14,329
2013-06-15,250
2013-06-16,322
2013-06-17,304
2013-06-18,310
2013-06-19,280
2013-06-20,294
2013-06-21,285
2013-06-22,288
2013-06-23,269
2013-06-24,261
2013-06-25,305
2013-06-26,321
2013-06-27,262
2013-06-28,294
2013-06-29,276
2013-06-30,277
2013-07-01,297
2013-07-02,287
2013-07-03,249
2013-07-04,349
2013-07-05,247
2013-07-06,273
2013-07-07,280
2013-07-08,311
2013-07-09,291
2013-07-10,272
2013-07-11,307
2013-07-12,302
2013-07-13,311
2013-07-14,288
2013-07-15,306
2013-07-16,277
2013-07-17,308
2013-07-18,299
2013-07-19,285
2013-07-20,280
2013-07-21,298
2013-07-22,312
2013-07-23,295
2013-07-24,328
2013-07-25,347
2013-07-26,325
2013-07-27,290
2013-07-28,274
2013-07-29,278
2013-07-30,298
2013-07-31,256
2013-08-01,333
2013-08-02,296
2013-08-03,303
2013-08-04,281
2013-08-05,308
2013-08-06,304
2013-08-07,313
2013-08-08,304
2013-08-09,323
2013-08-10,318
2013-08-11,289
2013-08-12,315
2013-08-13,276
2013-08-14,264
2013-08-15,315
2013-08-16,292
2013-08-17,308
2013-08-18,282
2013-08-19,297
2013-08-20,306
2013-08-21,300
2013-08-22,299
2013-08-23,277
2013-08-24,285
2013-08-25,288
2013-08-26,314
2013-08-27,281
2013-08-28,297
2013-08-29,266
2013-08-30,288
2013-08-31,260
2013-09-01,288
2013-09-02,273
2013-09-03,258
2013-09-04,289
2013-09-05,268
2013-09-06,301
2013-09-07,303
2013-09-08,275
2013-09-09,259
2013-09-10,288
2013-09-11,250
2013-09-12,252
2013-09-13,239
2013-09-14,252
2013-09-15,243
2013-09-16,235
2013-09-17,259
2013-09-18,228
2013-09-19,296
2013-09-20,316
2013-09-21,300
2013-09-22,214
2013-09-23,267
2013-09-24,277
2013-09-25,262
2013-09-26,264
2013-09-27,311
2013-09-28,292
2013-09-29,224
2013-09-30,263
2013-10-01,315
2013-10-02,259
2013-10-03,240
2013-10-04,286
2013-10-05,249
2013-10-06,211
2013-10-07,265
2013-10-08,254
2013-10-09,282
2013-10-10,275
2013-10-11,259
2013-10-12,254
2013-10-13,228
2013-10-14,248
2013-10-15,229
2013-10-16,250
2013-10-17,220
2013-10-18,275
2013-10-19,227
2013-10-20,248
2013-10-21,220
2013-10-22,214
2013-10-23,203
2013-10-24,227
2013-10-25,232
2013-10-26,254
2013-10-27,224
2013-10-28,256
2013-10-29,266
2013-10-30,233
2013-10-31,326
2013-11-01,285
2013-11-02,237
2013-11-03,224
2013-11-04,234
2013-11-05,246
2013-11-06,224
2013-11-07,212
2013-11-08,269
2013-11-09,238
2013-11-10,238
2013-11-11,188
2013-11-12,201
2013-11-13,245
2013-11-14,223
2013-11-15,322
2013-11-16,228
2013-11-17,210
2013-11-18,239
2013-11-19,262
