1,CONCEALED CARRY LICENSE VIOLATION
1,DOMESTIC VIOLENCE
1,NON-CRIMINAL (SUBJECT SPECIFIED)
2,NON - CRIMINAL
3,NON-CRIMINAL
3,RITUALISM
5,HUMAN TRAFFICKING
6,OTHER NARCOTIC VIOLATION
6,PUBLIC INDECENCY
42,OBSCENITY
256,STALKING
293,INTIMIDATION
348,GAMBLING
537,HOMICIDE
547,KIDNAPPING
757,ARSON
915,INTERFERENCE WITH PUBLIC OFFICER
1065,LIQUOR LAW VIOLATION
2026,SEX OFFENSE
2122,CRIM SEXUAL ASSAULT
3060,PUBLIC PEACE VIOLATION
4396,OFFENSE INVOLVING CHILDREN
5064,WEAPONS VIOLATION
6143,PROSTITUTION
15797,CRIMINAL TRESPASS
18942,ROBBERY
19260,DECEPTIVE PRACTICE
25005,MOTOR VEHICLE THEFT
26698,ASSAULT
28125,BURGLARY
34592,OTHER OFFENSE
51790,CRIMINAL DAMAGE
60640,NARCOTICS
82358,BATTERY
99632,THEFT
