County/City,Democratic,Republican,Total Votes Cast,Year,Rep Share
Accomack County,2087,307,2426,1924,12.654575432811212
Albemarle County,1383,366,1801,1924,20.322043309272626
Alexandria City,1136,556,1958,1924,28.39632277834525
Alleghany County,589,856,1628,1924,52.57985257985258
Amelia County,372,153,540,1924,28.333333333333332
Amherst County,1092,129,1326,1924,9.728506787330316
Appomattox County,952,101,1071,1924,9.430438842203548
Arlington County,1209,1307,2921,1924,44.74495035946594
Augusta County,1920,1265,3263,1924,38.76800490346307
Bath County,404,407,835,1924,48.74251497005988
Bedford County,1811,432,2274,1924,18.99736147757256
Bland County,604,609,1217,1924,50.04108463434675
Botetourt County,1427,1264,2752,1924,45.93023255813954
Bristol City,1036,440,1505,1924,29.235880398671096
Brunswick County,887,65,982,1924,6.619144602851324
Buchanan County,870,1080,1964,1924,54.989816700611
Buckingham County,623,213,851,1924,25.029377203290245
Buena Vista City,235,149,392,1924,38.01020408163265
Campbell County,1468,372,1982,1924,18.768920282542886
Caroline County,840,223,1083,1924,20.59095106186519
Carroll County,1257,1743,3014,1924,57.83012607830126
Charles City County,141,82,231,1924,35.497835497835496
Charlotte County,1006,154,1244,1924,12.379421221864952
Charlottesville City,831,218,1157,1924,18.84183232497839
Chesterfield County,967,282,1324,1924,21.299093655589125
Clarke County,687,76,778,1924,9.768637532133676
Clifton Forge City,447,225,961,1924,23.413111342351716
Craig County,512,300,831,1924,36.101083032490976
Culpeper County,876,190,1108,1924,17.14801444043321
Cumberland County,398,61,487,1924,12.525667351129364
Danville City,1577,473,2237,1924,21.144389807778275
Dickenson County,1618,1294,3031,1924,42.692180798416366
Dinwiddie County,685,122,830,1924,14.698795180722891
Elizabeth City County,698,312,1098,1924,28.415300546448087
Essex County,315,60,384,1924,15.625
Fairfax County,1586,765,2546,1924,30.0471327572663
Fauquier County,1277,345,1711,1924,20.16364699006429
Floyd County,515,984,1512,1924,65.07936507936508
Fluvanna County,452,136,615,1924,22.11382113821138
Franklin County,1902,1077,2992,1924,35.99598930481283
Frederick County,1314,484,1827,1924,26.49151614668856
Fredericksburg City,558,223,808,1924,27.599009900990097
Giles County,1319,852,2229,1924,38.22341857335128
Gloucester County,616,109,730,1924,14.931506849315069
Goochland County,394,164,598,1924,27.4247491638796
Grayson County,1611,1442,3073,1924,46.924829157175395
Greene County,285,240,533,1924,45.0281425891182
Greensville County,417,132,572,1924,23.076923076923077
Halifax County,2245,374,2664,1924,14.03903903903904
Hampton City,471,129,615,1924,20.975609756097562
Hanover County,732,135,905,1924,14.917127071823204
Harrisonburg City,624,631,1270,1924,49.68503937007874
Henrico County,1052,416,1600,1924,26.0
Henry County,1097,565,1697,1924,33.29404832056571
Highland County,508,454,972,1924,46.70781893004115
Hopewell City,277,206,491,1924,41.955193482688394
Isle of Wight County,631,190,827,1924,22.97460701330109
James City County,173,54,240,1924,22.5
King and Queen County,314,134,452,1924,29.646017699115045
King George County,280,206,502,1924,41.03585657370518
King William County,372,148,533,1924,27.76735459662289
Lancaster County,564,90,668,1924,13.47305389221557
Lee County,2376,2456,4944,1924,49.676375404530745
Loudoun County,1794,152,2028,1924,7.495069033530572
Louisa County,707,282,1046,1924,26.95984703632887
Lunenburg County,686,130,1035,1924,12.560386473429952
Lynchburg City,2086,606,2820,1924,21.48936170212766
Madison County,589,347,971,1924,35.736354273944386
Mathews County,678,195,883,1924,22.083805209513024
Mecklenburg County,1649,286,1955,1924,14.62915601023018
Middlesex County,438,78,523,1924,14.91395793499044
Montgomery County,1142,964,2169,1924,44.44444444444444
Nansemond County,539,99,651,1924,15.2073732718894
Nelson County,1042,350,1428,1924,24.50980392156863
New Kent County,178,86,279,1924,30.82437275985663
Newport News City,1574,917,2780,1924,32.985611510791365
Norfolk County,1000,289,1366,1924,21.15666178623719
Norfolk City,5061,2447,7919,1924,30.90036620785453
Northampton County,941,180,1159,1924,15.530629853321829
Northumberland County,589,130,729,1924,17.83264746227709
Nottoway County,840,181,1161,1924,15.590008613264427
Orange County,834,181,1068,1924,16.94756554307116
Page County,1015,885,2055,1924,43.065693430656935
Patrick County,1138,783,1932,1924,40.52795031055901
Petersburg City,1331,228,1591,1924,14.330609679446889
Pittsylvania County,2563,880,3556,1924,24.746906636670417
Portsmouth City,2206,604,3405,1924,17.738619676945667
Powhatan County,247,110,368,1924,29.891304347826086
Prince Edward County,714,140,863,1924,16.22247972190035
Prince George County,279,90,381,1924,23.62204724409449
Prince William County,847,269,1168,1924,23.03082191780822
Princess Anne County,690,137,858,1924,15.967365967365968
Pulaski County,1767,1422,3279,1924,43.366880146386094
Radford City,394,314,807,1924,38.909541511772
Rappahannock County,395,89,505,1924,17.623762376237625
Richmond County,340,125,471,1924,26.53927813163482
Richmond City,9904,2600,13411,1924,19.38707031541272
Roanoke County,1078,695,1888,1924,36.811440677966104
Roanoke City,3930,1747,6432,1924,27.161069651741293
Rockbridge County,1394,680,2132,1924,31.894934333958723
Rockingham County,2040,1982,4122,1924,48.08345463367297
